c:\Users\admin\Desktop\AIntelligence\RRHH Brify\BrifyRRHHv2-main\src\components\communication\WebrifyCommunicationDashboard.js: line 1, col 51, Warning - 'useMemo' is defined but never used. (no-unused-vars)
c:\Users\admin\Desktop\AIntelligence\RRHH Brify\BrifyRRHHv2-main\src\components\communication\WebrifyCommunicationDashboard.js: line 27, col 8, Warning - 'communicationService' is defined but never used. (no-unused-vars)
c:\Users\admin\Desktop\AIntelligence\RRHH Brify\BrifyRRHHv2-main\src\components\communication\WebrifyCommunicationDashboard.js: line 32, col 8, Warning - 'FlipCard' is defined but never used. (no-unused-vars)
c:\Users\admin\Desktop\AIntelligence\RRHH Brify\BrifyRRHHv2-main\src\components\communication\WebrifyCommunicationDashboard.js: line 342, col 6, Warning - React Hook useEffect has missing dependencies: 'companiesFromDB.length', 'loadCompaniesFromDB', and 'loadCompanyInsights'. Either include them or remove the dependency array. (react-hooks/exhaustive-deps)
c:\Users\admin\Desktop\AIntelligence\RRHH Brify\BrifyRRHHv2-main\src\components\communication\WebrifyCommunicationDashboard_DEBUG.js: line 18, col 3, Warning - 'LightBulbIcon' is defined but never used. (no-unused-vars)
c:\Users\admin\Desktop\AIntelligence\RRHH Brify\BrifyRRHHv2-main\src\components\communication\WebrifyCommunicationDashboard_DEBUG.js: line 19, col 3, Warning - 'ChevronDownIcon' is defined but never used. (no-unused-vars)
c:\Users\admin\Desktop\AIntelligence\RRHH Brify\BrifyRRHHv2-main\src\components\communication\WebrifyCommunicationDashboard_DEBUG.js: line 20, col 3, Warning - 'ChevronUpIcon' is defined but never used. (no-unused-vars)
c:\Users\admin\Desktop\AIntelligence\RRHH Brify\BrifyRRHHv2-main\src\components\communication\WebrifyCommunicationDashboard_DEBUG.js: line 37, col 7, Warning - 'MySwal' is assigned a value but never used. (no-unused-vars)
c:\Users\admin\Desktop\AIntelligence\RRHH Brify\BrifyRRHHv2-main\src\components\communication\WebrifyCommunicationDashboard_DEBUG.js: line 65, col 22, Warning - 'setCurrentTab' is assigned a value but never used. (no-unused-vars)
c:\Users\admin\Desktop\AIntelligence\RRHH Brify\BrifyRRHHv2-main\src\components\communication\WebrifyCommunicationDashboard_DEBUG.js: line 66, col 10, Warning - 'templatesCount' is assigned a value but never used. (no-unused-vars)
c:\Users\admin\Desktop\AIntelligence\RRHH Brify\BrifyRRHHv2-main\src\components\communication\WebrifyCommunicationDashboard_DEBUG.js: line 67, col 10, Warning - 'sentMessages' is assigned a value but never used. (no-unused-vars)
c:\Users\admin\Desktop\AIntelligence\RRHH Brify\BrifyRRHHv2-main\src\components\communication\WebrifyCommunicationDashboard_DEBUG.js: line 68, col 10, Warning - 'readRate' is assigned a value but never used. (no-unused-vars)
c:\Users\admin\Desktop\AIntelligence\RRHH Brify\BrifyRRHHv2-main\src\components\communication\WebrifyCommunicationDashboard_DEBUG.js: line 69, col 10, Warning - 'companyInsights' is assigned a value but never used. (no-unused-vars)
